Season Week,Team,Conference,Conference Indicator,Division,Division Indicator,Date,W
1,ATL,Eastern,0,Southeast,2,2021-10-21,1
1,ORL,Eastern,0,Southeast,2,2021-10-22,0
1,ORL,Eastern,0,Southeast,2,2021-10-20,0
1,OKC,Western,1,Northwest,3,2021-10-24,0
1,OKC,Western,1,Northwest,3,2021-10-22,0
1,OKC,Western,1,Northwest,3,2021-10-20,0
1,NYK,Eastern,0,Atlantic,0,2021-10-24,2
1,NYK,Eastern,0,Atlantic,0,2021-10-22,2
1,ORL,Eastern,0,Southeast,2,2021-10-24,1
1,NYK,Eastern,0,Atlantic,0,2021-10-20,1
1,NOP,Western,1,Southwest,5,2021-10-22,0
1,NOP,Western,1,Southwest,5,2021-10-20,0
1,MIN,Western,1,Northwest,3,2021-10-23,2
1,MIN,Western,1,Northwest,3,2021-10-20,1
1,MIL,Eastern,0,Central,1,2021-10-23,2
1,MIL,Eastern,0,Central,1,2021-10-21,1
1,MIL,Eastern,0,Central,1,2021-10-19,1
1,NOP,Western,1,Southwest,5,2021-10-23,0
1,PHI,Eastern,0,Atlantic,0,2021-10-20,1
1,PHI,Eastern,0,Atlantic,0,2021-10-22,1
1,PHI,Eastern,0,Atlantic,0,2021-10-24,2
1,WAS,Eastern,0,Southeast,2,2021-10-22,2
1,WAS,Eastern,0,Southeast,2,2021-10-20,1
1,UTA,Western,1,Northwest,3,2021-10-22,2
1,UTA,Western,1,Northwest,3,2021-10-20,1
1,TOR,Eastern,0,Atlantic,0,2021-10-23,1
1,TOR,Eastern,0,Atlantic,0,2021-10-22,1
1,TOR,Eastern,0,Atlantic,0,2021-10-20,0
1,SAS,Western,1,Southwest,5,2021-10-23,1
1,SAS,Western,1,Southwest,5,2021-10-22,1
1,SAS,Western,1,Southwest,5,2021-10-20,1
1,SAC,Western,1,Pacific,4,2021-10-24,1
1,SAC,Western,1,Pacific,4,2021-10-22,1
1,SAC,Western,1,Pacific,4,2021-10-20,1
1,POR,Western,1,Northwest,3,2021-10-23,1
1,PHX,Western,1,Pacific,4,2021-10-23,1
1,PHX,Western,1,Pacific,4,2021-10-22,1
1,PHX,Western,1,Pacific,4,2021-10-20,0
1,MIA,Eastern,0,Southeast,2,2021-10-23,1
1,MIA,Eastern,0,Southeast,2,2021-10-21,1
1,POR,Western,1,Northwest,3,2021-10-20,0
1,MEM,Western,1,Southwest,5,2021-10-23,2
1,CLE,Eastern,0,Central,1,2021-10-23,1
1,CLE,Eastern,0,Central,1,2021-10-22,0
1,CLE,Eastern,0,Central,1,2021-10-20,0
1,CHI,Eastern,0,Central,1,2021-10-23,3
1,CHI,Eastern,0,Central,1,2021-10-22,2
1,CHI,Eastern,0,Central,1,2021-10-20,1
1,CHA,Eastern,0,Southeast,2,2021-10-24,3
1,DAL,Western,1,Southwest,5,2021-10-21,0
1,CHA,Eastern,0,Southeast,2,2021-10-22,2
1,BOS,Eastern,0,Atlantic,0,2021-10-22,0
1,BOS,Eastern,0,Atlantic,0,2021-10-20,0
1,BKN,Eastern,0,Atlantic,0,2021-10-24,1
1,BKN,Eastern,0,Atlantic,0,2021-10-22,1
1,BKN,Eastern,0,Atlantic,0,2021-10-19,0
1,ATL,Eastern,0,Southeast,2,2021-10-23,1
1,MEM,Western,1,Southwest,5,2021-10-24,2
1,BOS,Eastern,0,Atlantic,0,2021-10-24,1
1,DAL,Western,1,Southwest,5,2021-10-23,1
1,CHA,Eastern,0,Southeast,2,2021-10-20,1
1,DEN,Western,1,Northwest,3,2021-10-22,2
1,MEM,Western,1,Southwest,5,2021-10-20,1
1,DEN,Western,1,Northwest,3,2021-10-20,1
1,LAL,Western,1,Pacific,4,2021-10-24,1
1,LAL,Western,1,Pacific,4,2021-10-22,0
1,LAL,Western,1,Pacific,4,2021-10-19,0
1,LAC,Western,1,Pacific,4,2021-10-23,0
1,IND,Eastern,0,Central,1,2021-10-23,1
1,IND,Eastern,0,Central,1,2021-10-22,0
1,IND,Eastern,0,Central,1,2021-10-20,0
1,LAC,Western,1,Pacific,4,2021-10-21,0
1,HOU,Western,1,Southwest,5,2021-10-22,1
1,HOU,Western,1,Southwest,5,2021-10-20,0
1,GSW,Western,1,Pacific,4,2021-10-24,3
1,GSW,Western,1,Pacific,4,2021-10-21,2
1,GSW,Western,1,Pacific,4,2021-10-19,1
1,DET,Eastern,0,Central,1,2021-10-20,0
1,HOU,Western,1,Southwest,5,2021-10-24,1
1,DET,Eastern,0,Central,1,2021-10-23,0
2,ORL,Eastern,0,Southeast,2,2021-10-27,1
2,NYK,Eastern,0,Atlantic,0,2021-10-26,3
2,NYK,Eastern,0,Atlantic,0,2021-10-28,4
2,NYK,Eastern,0,Atlantic,0,2021-10-30,5
2,OKC,Western,1,Northwest,3,2021-10-30,1
2,OKC,Western,1,Northwest,3,2021-10-27,1
2,ORL,Eastern,0,Southeast,2,2021-10-25,1
2,ORL,Eastern,0,Southeast,2,2021-10-29,1
2,NOP,Western,1,Southwest,5,2021-10-30,1
2,OKC,Western,1,Northwest,3,2021-10-26,0
2,NOP,Western,1,Southwest,5,2021-10-29,1
2,MIL,Eastern,0,Central,1,2021-10-25,3
2,NOP,Western,1,Southwest,5,2021-10-25,1
2,MIN,Western,1,Northwest,3,2021-10-30,3
2,MIN,Western,1,Northwest,3,2021-10-27,3
2,MIN,Western,1,Northwest,3,2021-10-25,2
2,MIL,Eastern,0,Central,1,2021-10-31,3
2,MIL,Eastern,0,Central,1,2021-10-30,3
2,MIL,Eastern,0,Central,1,2021-10-27,3
2,MIA,Eastern,0,Southeast,2,2021-10-30,5
